73.5	3.0	0.047	1.012
1.2	4.8	0.000	0.000
3.0	4.8	0.000	0.000
4.8	4.8	-0.012	2.318
6.6	4.8	0.000	0.000
8.4	4.8	0.224	1.788
10.2	4.8	0.318	2.200
12.0	4.8	-0.588	0.412
13.9	4.8	0.000	0.000
15.7	4.8	-0.024	0.882
17.5	4.8	0.000	0.000
19.3	4.8	-0.176	0.965
21.1	4.8	-0.318	0.847
22.9	4.8	-0.565	1.353
24.7	4.8	-0.612	1.059
26.5	4.8	-0.671	1.141
28.3	4.8	-0.577	1.330
30.1	4.8	-0.518	1.647
31.9	4.8	-0.271	1.483
33.7	4.8	-0.482	1.412
35.5	4.8	-0.412	1.518
37.4	4.8	-0.141	1.624
39.2	4.8	-0.200	1.224
41.0	4.8	-0.024	1.577
42.8	4.8	-0.200	1.565
44.6	4.8	-0.200	1.788
46.4	4.8	-0.141	1.624
48.2	4.8	-0.165	1.635
50.0	4.8	-0.247	1.530
51.8	4.8	-0.024	1.694
53.6	4.8	0.141	1.836
55.4	4.8	-0.012	1.753
57.2	4.8	-0.247	1.541
59.0	4.8	-0.153	1.565
60.8	4.8	0.012	1.553
62.7	4.8	0.165	1.541
64.5	4.8	-0.059	1.235
66.3	4.8	-0.106	0.894
68.1	4.8	0.035	0.765
69.9	4.8	-0.059	0.800
71.7	4.8	-0.212	0.859
73.5	4.8	0.035	0.930
1.2	6.6	0.000	0.000
3.0	6.6	0.000	0.000
4.8	6.6	-0.129	1.635
6.6	6.6	0.059	1.930
8.4	6.6	0.129	1.883
10.2	6.6	0.106	1.612
12.0	6.6	0.212	2.153
13.9	6.6	0.000	0.000
15.7	6.6	-0.012	1.012
17.5	6.6	-0.412	0.824
19.3	6.6	-0.224	1.247
21.1	6.6	-0.165	1.212
22.9	6.6	-0.518	0.788
24.7	6.6	-0.282	1.588
26.5	6.6	-0.506	1.224
28.3	6.6	-0.294	1.188
30.1	6.6	-0.494	1.400
31.9	6.6	-0.212	1.459
33.7	6.6	-0.377	1.247
35.5	6.6	-0.365	1.082
37.4	6.6	-0.447	1.459
39.2	6.6	-0.282	1.541
41.0	6.6	-0.071	1.553
42.8	6.6	-0.353	1.541
44.6	6.6	-0.059	1.694
46.4	6.6	-0.082	1.741
48.2	6.6	-0.247	1.812
50.0	6.6	0.035	1.765
51.8	6.6	-0.235	1.624
53.6	6.6	0.024	1.600
55.4	6.6	-0.094	1.588
57.2	6.6	-0.153	1.435
59.0	6.6	-0.059	1.447
60.8	6.6	0.247	1.318
62.7	6.6	0.271	1.518
64.5	6.6	0.282	1.353
66.3	6.6	0.165	1.047
68.1	6.6	0.059	0.906
69.9	6.6	-0.012	1.000
71.7	6.6	-0.106	0.882
73.5	6.6	0.000	0.000
1.2	8.4	0.000	0.000
3.0	8.4	0.000	0.000
4.8	8.4	0.000	0.000
6.6	8.4	0.094	1.635
8.4	8.4	0.141	1.836
10.2	8.4	0.353	2.283
12.0	8.4	0.059	1.588
13.9	8.4	0.000	0.000
15.7	8.4	0.000	0.000
17.5	8.4	0.000	0.000
19.3	8.4	-0.165	1.212
21.1	8.4	-0.353	0.930
22.9	8.4	-0.565	1.471
24.7	8.4	-0.306	1.494
26.5	8.4	0.000	0.000
28.3	8.4	-0.306	1.306
30.1	8.4	-0.259	1.341
31.9	8.4	-0.035	1.224
33.7	8.4	-0.188	1.459
35.5	8.4	-0.424	1.365
37.4	8.4	-0.341	1.647
39.2	8.4	-0.212	1.553
41.0	8.4	-0.118	1.600
42.8	8.4	-0.459	1.977
44.6	8.4	-0.012	1.741
46.4	8.4	-0.082	1.694
48.2	8.4	-0.082	1.694
50.0	8.4	-0.012	1.600
51.8	8.4	-0.153	1.683
53.6	8.4	-0.282	1.800
55.4	8.4	-0.659	1.836
57.2	8.4	-0.188	1.318
59.0	8.4	-0.106	1.412
60.8	8.4	0.094	1.459
62.7	8.4	0.059	1.435
64.5	8.4	-0.024	1.365
66.3	8.4	0.071	1.518
68.1	8.4	-0.024	0.988
69.9	8.4	0.212	1.153
71.7	8.4	0.153	0.988
73.5	8.4	0.000	0.000
1.2	10.2	0.000	0.000
3.0	10.2	0.000	0.000
4.8	10.2	0.000	0.000
6.6	10.2	0.082	1.800
8.4	10.2	0.271	1.824
10.2	10.2	0.047	1.683
12.0	10.2	0.176	1.588
13.9	10.2	-0.153	1.600
15.7	10.2	-0.059	1.400
17.5	10.2	-0.035	1.694
19.3	10.2	0.000	0.000
21.1	10.2	-0.224	0.882
22.9	10.2	-0.176	0.788
24.7	10.2	-0.059	1.071
26.5	10.2	-0.424	1.059
28.3	10.2	0.000	1.035
30.1	10.2	-0.506	1.683
31.9	10.2	0.082	1.518
33.7	10.2	0.153	1.706
35.5	10.2	-0.200	1.494
37.4	10.2	-0.106	1.412
39.2	10.2	-0.094	1.577
41.0	10.2	-0.153	1.412
42.8	10.2	-0.165	1.847
44.6	10.2	-0.082	1.647
46.4	10.2	-0.094	1.612
48.2	10.2	0.024	1.730
50.0	10.2	0.294	1.518
51.8	10.2	-0.059	1.730
53.6	10.2	-0.224	1.565
55.4	10.2	-0.129	1.565
57.2	10.2	0.000	1.388
59.0	10.2	0.047	1.400
60.8	10.2	-0.071	1.588
62.7	10.2	-0.059	1.588
64.5	10.2	0.071	1.412
66.3	10.2	0.212	1.177
68.1	10.2	-0.141	0.753
69.9	10.2	-0.224	0.741
71.7	10.2	-0.106	0.906
73.5	10.2	-0.082	1.012
1.2	12.0	0.000	0.000
3.0	12.0	0.000	0.000
4.8	12.0	0.000	0.000
6.6	12.0	-0.012	1.588
8.4	12.0	0.106	1.753
10.2	12.0	0.165	1.788
12.0	12.0	0.224	0.706
13.9	12.0	0.000	0.000
15.7	12.0	0.565	1.918
17.5	12.0	0.118	1.400
19.3	12.0	-0.294	1.200
21.1	12.0	-0.482	1.094
22.9	12.0	-0.106	0.777
24.7	12.0	0.000	0.000
26.5	12.0	-0.329	1.165
28.3	12.0	-0.094	1.130
30.1	12.0	-0.400	1.588
31.9	12.0	-0.424	1.612
33.7	12.0	-0.188	1.459
35.5	12.0	-0.188	1.471
37.4	12.0	-0.153	1.541
39.2	12.0	-0.153	1.718
41.0	12.0	-0.200	1.765
42.8	12.0	-0.024	1.765
44.6	12.0	-0.047	1.788
46.4	12.0	-0.024	1.800
48.2	12.0	-0.447	2.188
50.0	12.0	-0.082	1.777
51.8	12.0	-0.094	1.988
53.6	12.0	-0.106	1.918
55.4	12.0	0.012	1.600
57.2	12.0	-0.035	1.635
59.0	12.0	0.153	1.635
60.8	12.0	-0.047	1.435
62.7	12.0	-0.188	1.188
64.5	12.0	0.059	1.412
66.3	12.0	0.094	0.859
68.1	12.0	-0.188	0.741
69.9	12.0	0.047	0.729
71.7	12.0	-0.047	0.871
73.5	12.0	-0.082	0.977
1.2	13.9	0.000	0.000
3.0	13.9	0.000	0.000
4.8	13.9	-0.035	1.483
6.6	13.9	0.059	1.718
8.4	13.9	0.035	1.541
10.2	13.9	0.165	1.941
12.0	13.9	0.082	2.353
13.9	13.9	0.000	0.000
15.7	13.9	0.141	2.153
17.5	13.9	0.059	1.377
19.3	13.9	-0.318	1.365
21.1	13.9	-1.047	1.518
22.9	13.9	-0.647	1.294
24.7	13.9	-0.412	0.553
26.5	13.9	0.153	1.541
28.3	13.9	-0.682	1.212
30.1	13.9	-0.600	1.341
31.9	13.9	-0.071	1.271
33.7	13.9	-0.129	1.459
35.5	13.9	-0.282	1.435
37.4	13.9	-0.106	1.153
39.2	13.9	-0.094	1.894
41.0	13.9	-0.200	1.671
42.8	13.9	0.000	1.777
44.6	13.9	-0.153	1.941
46.4	13.9	-0.094	1.565
48.2	13.9	-0.129	1.518
50.0	13.9	0.071	1.530
51.8	13.9	0.129	2.083
53.6	13.9	0.294	2.141
55.4	13.9	-0.024	1.706
57.2	13.9	-0.059	1.283
59.0	13.9	-0.106	1.435
60.8	13.9	0.118	1.353
62.7	13.9	0.165	1.177
64.5	13.9	0.047	1.153
66.3	13.9	0.165	1.012
68.1	13.9	0.118	1.000
69.9	13.9	0.165	0.941
71.7	13.9	-0.047	0.871
73.5	13.9	-0.129	1.059
1.2	15.7	0.000	0.000
3.0	15.7	0.000	0.000
4.8	15.7	0.000	0.000
6.6	15.7	0.012	2.118
8.4	15.7	0.071	2.271
10.2	15.7	0.188	2.294
12.0	15.7	-0.071	1.588
13.9	15.7	0.000	1.647
15.7	15.7	0.071	2.365
17.5	15.7	-0.035	1.412
19.3	15.7	-1.459	-0.082
21.1	15.7	0.000	0.000
22.9	15.7	-0.082	0.694
24.7	15.7	-0.424	0.953
26.5	15.7	-0.424	0.600
28.3	15.7	-0.565	1.259
30.1	15.7	-0.153	1.283
31.9	15.7	-0.129	1.318
33.7	15.7	-0.035	1.200
35.5	15.7	-0.165	1.412
37.4	15.7	0.012	1.659
39.2	15.7	-0.129	1.788
41.0	15.7	-0.188	2.047
42.8	15.7	-0.141	1.765
44.6	15.7	-0.224	1.777
46.4	15.7	-0.412	1.671
48.2	15.7	-0.082	1.730
50.0	15.7	-0.047	1.565
51.8	15.7	0.141	1.788
53.6	15.7	0.059	1.836
55.4	15.7	0.000	1.635
57.2	15.7	0.012	1.612
59.0	15.7	0.094	1.447
60.8	15.7	0.024	1.106
62.7	15.7	-0.047	0.918
64.5	15.7	0.000	1.271
66.3	15.7	-0.071	1.130
68.1	15.7	0.082	1.294
69.9	15.7	0.212	1.012
71.7	15.7	0.106	0.965
73.5	15.7	0.035	0.977
1.2	17.5	0.000	0.000
3.0	17.5	0.000	0.000
4.8	17.5	0.000	0.000
6.6	17.5	0.000	0.000
8.4	17.5	0.306	2.083
10.2	17.5	0.000	0.000
12.0	17.5	0.000	1.847
13.9	17.5	0.329	2.306
15.7	17.5	0.000	0.000
17.5	17.5	0.541	2.271
19.3	17.5	0.729	2.188
21.1	17.5	-0.682	1.400
22.9	17.5	-0.671	1.377
24.7	17.5	-0.082	0.824
26.5	17.5	-0.412	1.212
28.3	17.5	-0.294	1.235
30.1	17.5	-0.071	1.035
31.9	17.5	-0.341	1.400
33.7	17.5	-0.165	1.118
35.5	17.5	-0.141	1.200
37.4	17.5	0.035	1.459
39.2	17.5	-0.235	1.541
41.0	17.5	-0.224	1.918
42.8	17.5	-0.247	2.188
44.6	17.5	-0.271	2.047
46.4	17.5	-0.059	1.706
48.2	17.5	0.000	1.824
50.0	17.5	-0.141	1.506
51.8	17.5	0.059	1.965
53.6	17.5	0.318	1.847
55.4	17.5	0.024	1.530
57.2	17.5	0.165	1.306
59.0	17.5	0.271	1.365
60.8	17.5	0.094	1.200
62.7	17.5	0.000	0.000
64.5	17.5	0.141	1.024
66.3	17.5	-0.059	0.800
68.1	17.5	-0.118	1.118
69.9	17.5	-0.141	0.988
71.7	17.5	0.012	1.024
73.5	17.5	0.129	1.082
1.2	19.3	0.000	0.000
3.0	19.3	0.000	0.000
4.8	19.3	0.000	0.000
6.6	19.3	-0.059	2.400
8.4	19.3	0.247	1.635
10.2	19.3	0.094	2.165
